total_exchanges,baseCurrency,coinbase_spot,coinbase_futures,okx_spot,okx_futures,binance_spot,binance_futures,upbit_spot,upbit_futures,hyperliquid_spot,hyperliquid_futures
3,ARPA,1,0,0,0,1,1,1,0,0,0
3,ENJ,0,0,1,0,1,1,1,0,0,0
2,WIN,0,0,1,0,1,0,0,0,0,0
4,XTZ,1,0,1,0,1,1,1,0,0,0
4,CELO,0,0,1,0,1,1,1,0,0,1
2,ZEC,1,0,0,0,1,1,0,0,0,0
4,USDC,1,0,1,0,1,1,1,0,0,0
2,WBTC,0,0,1,0,1,0,0,0,0,0
4,GRT,1,0,1,0,1,1,1,0,0,0
4,1INCH,1,0,1,0,1,1,1,0,0,0
2,VELO,1,0,1,0,0,0,0,0,0,0
2,JUV,0,0,0,0,1,0,1,0,0,0
4,MANA,1,0,1,0,1,1,1,0,0,0
4,STORJ,1,0,1,0,1,1,1,0,0,0
4,TRB,1,0,1,0,1,1,0,0,0,1
3,THETA,0,0,1,0,1,1,1,0,0,0
4,CHZ,1,0,1,0,1,1,1,0,0,0
2,SWFTC,1,0,1,0,0,0,0,0,0,0
5,XRP,1,0,1,0,1,1,1,0,0,1
3,KSM,1,0,1,0,1,1,0,0,0,0
5,LINK,1,0,1,0,1,1,1,0,0,1
3,STRAX,0,0,0,0,1,0,1,0,0,1
4,USDT,1,0,1,0,1,0,1,0,0,0
2,EURC,1,0,1,0,0,0,0,0,0,0
2,SLP,0,0,1,0,1,1,0,0,0,0
3,QTUM,0,0,1,0,1,1,1,0,0,0
2,SPURS,0,0,1,0,0,0,1,0,0,0
2,DIA,1,0,0,0,1,1,0,0,0,0
4,AXS,1,0,1,0,1,1,1,0,0,0
2,SNT,0,0,1,0,0,0,1,0,0,0
4,KNC,1,0,1,0,1,1,1,0,0,0
2,SD,1,0,1,0,0,0,0,0,0,0
5,INJ,1,0,1,0,1,1,1,0,0,1
3,SC,0,0,1,0,1,0,1,0,0,0
5,FIL,1,0,1,0,1,1,1,0,0,1
3,VET,1,0,0,0,1,1,1,0,0,0
4,SUSHI,1,0,1,0,1,1,0,0,0,1
2,MTL,0,0,0,0,1,1,1,0,0,0
5,NEAR,1,0,1,0,1,1,1,0,0,1
3,RVN,0,0,1,0,1,1,1,0,0,0
3,BADGER,1,0,1,0,0,0,0,0,0,1
5,AAVE,1,0,1,0,1,1,1,0,0,1
3,CAKE,1,0,0,0,1,1,0,0,0,1
2,FLM,0,0,1,0,1,1,0,0,0,0
2,PRCL,1,0,1,0,0,0,0,0,0,0
5,XLM,1,0,1,0,1,1,1,0,0,1
5,AVAX,1,0,1,0,1,1,1,0,0,1
2,SUN,0,0,0,0,1,1,1,0,0,0
5,UNI,1,0,1,0,1,1,1,0,0,1
2,HIVE,0,0,0,0,1,1,1,0,0,0
3,ORBS,0,0,1,0,0,0,1,0,0,1
2,ONE,0,0,1,0,1,1,0,0,0,0
4,EGLD,1,0,1,0,1,1,1,0,0,0
2,OAS,0,0,1,0,0,0,1,0,0,0
4,NEO,0,0,1,0,1,1,1,0,0,1
3,BLAST,1,0,0,0,0,0,1,0,0,1
3,PAXG,1,0,0,0,1,1,0,0,0,1
2,LUNA,0,0,1,0,1,0,0,0,0,0
5,DOT,1,0,1,0,1,1,1,0,0,1
5,BCH,1,0,1,0,1,1,1,0,0,1
5,BTC,1,0,1,0,1,1,1,0,0,1
3,JST,0,0,1,0,1,1,1,0,0,0
4,MKR,1,0,1,0,1,1,0,0,0,1
4,CVC,1,0,1,0,1,1,1,0,0,0
2,SXP,0,0,0,0,1,1,1,0,0,0
3,LSK,0,0,1,0,1,1,1,0,0,0
4,LRC,1,0,1,0,1,1,1,0,0,0
2,RUNE,0,0,0,0,1,1,0,0,0,1
3,DGB,0,0,1,0,1,0,1,0,0,0
3,IOTX,1,0,0,0,1,1,1,0,0,0
2,ARDR,0,0,0,0,1,0,1,0,0,0
5,SNX,1,0,1,0,1,1,1,0,0,1
3,CTSI,1,0,0,0,1,1,1,0,0,0
2,MNT,0,0,0,0,0,0,1,0,0,1
2,MDT,1,0,0,0,1,0,0,0,0,0
4,IOTA,0,0,1,0,1,1,1,0,0,1
3,IOST,0,0,1,0,1,1,1,0,0,0
4,GAS,0,0,1,0,1,1,1,0,0,1
5,SOL,1,0,1,0,1,1,1,0,0,1
2,GODS,1,0,1,0,0,0,0,0,0,0
4,OGN,1,0,0,0,1,1,1,0,0,1
2,BAL,1,0,1,0,0,0,0,0,0,0
5,ETH,1,0,1,0,1,1,1,0,0,1
5,DOGE,1,0,1,0,1,1,1,0,0,1
4,LTC,1,0,1,0,1,1,0,0,0,1
2,FTT,0,0,0,0,1,0,0,0,0,1
5,ETC,1,0,1,0,1,1,1,0,0,1
2,ERN,1,0,1,0,0,0,0,0,0,0
3,CRO,1,0,1,0,0,0,1,0,0,0
3,BAND,1,0,1,0,1,1,0,0,0,0
2,DASH,1,0,0,0,1,1,0,0,0,0
5,STX,1,0,1,0,1,1,1,0,0,1
5,ALGO,1,0,1,0,1,1,1,0,0,1
5,HBAR,1,0,1,0,1,1,1,0,0,1
2,CTC,0,0,1,0,0,0,1,0,0,0
2,CLV,1,0,1,0,0,0,0,0,0,0
2,BLZ,1,0,0,0,0,0,0,0,0,1
3,ANKR,1,0,0,0,1,1,1,0,0,0
3,BNB,0,0,1,0,1,1,0,0,0,1
3,ZEN,1,0,0,0,1,1,0,0,0,1
2,USDS,1,0,0,0,0,0,1,0,0,0
2,DNT,1,0,0,0,0,0,1,0,0,0
5,ATOM,1,0,1,0,1,1,1,0,0,1
4,TRX,0,0,1,0,1,1,1,0,0,1
2,TUSD,0,0,0,0,1,0,1,0,0,0
2,MATIC,1,0,0,0,0,0,0,0,0,1
4,FET,1,0,1,0,1,1,0,0,0,1
3,REQ,1,0,0,0,1,0,0,0,0,1
4,BAT,1,0,1,0,1,1,1,0,0,0
2,STEEM,0,0,0,0,1,1,1,0,0,0
