symbol,baseCurrency,quoteCurrency,status,displayName,fxStablecoin,maxSlippagePercentage,postOnly,limitOnly,cancelOnly,tradingDisabled,statusMessage,auctionMode,exchange,type,trading_type
ADA-USDT,ADA,USDT,online,ADA-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ANKR-USD,ANKR,USD,online,ANKR-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LTC-GBP,LTC,GBP,online,LTC-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
DOGE-BTC,DOGE,BTC,online,DOGE-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MDT-USD,MDT,USD,online,MDT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ACX-USD,ACX,USD,online,ACX/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BAL-USD,BAL,USD,online,BAL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
QNT-USDT,QNT,USDT,online,QNT-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GMT-USD,GMT,USD,online,GMT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CLANKER-USD,CLANKER,USD,online,CLANKER/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LINK-USD,LINK,USD,online,LINK-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ICP-BTC,ICP,BTC,online,ICP-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ELA-USD,ELA,USD,online,ELA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
KEYCAT-USD,KEYCAT,USD,online,KEYCAT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BIGTIME-USD,BIGTIME,USD,online,BIGTIME-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
COMP-USD,COMP,USD,online,COMP-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALT-USD,ALT,USD,online,ALT/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
