symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,contractType
OGNBTC,OGN,BTC,TRADING,binance,spot,现货,
OGNUSDT,OGN,USDT,TRADING,binance,spot,现货,
LSKUSDT,LSK,USDT,TRADING,binance,spot,现货,
BNTUSDT,BNT,USDT,TRADING,binance,spot,现货,
MBLUSDT,MBL,USDT,TRADING,binance,spot,现货,
COTIBTC,COTI,BTC,TRADING,binance,spot,现货,
COTIUSDT,COTI,USDT,TRADING,binance,spot,现货,
BTCZAR,BTC,ZAR,TRADING,binance,spot,现货,
ETHZAR,ETH,ZAR,TRADING,binance,spot,现货,
USDTZAR,USDT,ZAR,TRADING,binance,spot,现货,
DATAUSDT,DATA,USDT,TRADING,binance,spot,现货,
SOLBNB,SOL,BNB,TRADING,binance,spot,现货,
SOLBTC,SOL,BTC,TRADING,binance,spot,现货,
SOLUSDT,SOL,USDT,TRADING,binance,spot,现货,
CTSIBTC,CTSI,BTC,TRADING,binance,spot,现货,
CTSIUSDT,CTSI,USDT,TRADING,binance,spot,现货,
HIVEBTC,HIVE,BTC,TRADING,binance,spot,现货,
HIVEUSDT,HIVE,USDT,TRADING,binance,spot,现货,
CHRBTC,CHR,BTC,TRADING,binance,spot,现货,
CHRUSDT,CHR,USDT,TRADING,binance,spot,现货,
ARDRUSDT,ARDR,USDT,TRADING,binance,spot,现货,
MDTUSDT,MDT,USDT,TRADING,binance,spot,现货,
KNCUSDT,KNC,USDT,TRADING,binance,spot,现货,
LRCUSDT,LRC,USDT,TRADING,binance,spot,现货,
BTCUAH,BTC,UAH,TRADING,binance,spot,现货,
USDTUAH,USDT,UAH,TRADING,binance,spot,现货,
COMPBTC,COMP,BTC,TRADING,binance,spot,现货,
COMPUSDT,COMP,USDT,TRADING,binance,spot,现货,
SCUSDT,SC,USDT,TRADING,binance,spot,现货,
ZENUSDT,ZEN,USDT,TRADING,binance,spot,现货,
SXPBTC,SXP,BTC,TRADING,binance,spot,现货,
SNXBTC,SNX,BTC,TRADING,binance,spot,现货,
SNXUSDT,SNX,USDT,TRADING,binance,spot,现货,
VTHOUSDT,VTHO,USDT,TRADING,binance,spot,现货,
DGBUSDT,DGB,USDT,TRADING,binance,spot,现货,
SXPUSDT,SXP,USDT,TRADING,binance,spot,现货,
MKRBTC,MKR,BTC,TRADING,binance,spot,现货,
MKRUSDT,MKR,USDT,TRADING,binance,spot,现货,
RUNEBTC,RUNE,BTC,TRADING,binance,spot,现货,
DCRUSDT,DCR,USDT,TRADING,binance,spot,现货,
STORJUSDT,STORJ,USDT,TRADING,binance,spot,现货,
AVABTC,AVA,BTC,TRADING,binance,spot,现货,
MANAUSDT,MANA,USDT,TRADING,binance,spot,现货,
YFIBTC,YFI,BTC,TRADING,binance,spot,现货,
YFIUSDT,YFI,USDT,TRADING,binance,spot,现货,
BTCDAI,BTC,DAI,TRADING,binance,spot,现货,
ETHDAI,ETH,DAI,TRADING,binance,spot,现货,
USDTDAI,USDT,DAI,TRADING,binance,spot,现货,
JSTBTC,JST,BTC,TRADING,binance,spot,现货,
JSTUSDT,JST,USDT,TRADING,binance,spot,现货,
CRVBTC,CRV,BTC,TRADING,binance,spot,现货,
CRVUSDT,CRV,USDT,TRADING,binance,spot,现货,
SANDBTC,SAND,BTC,TRADING,binance,spot,现货,
SANDUSDT,SAND,USDT,TRADING,binance,spot,现货,
NMRBTC,NMR,BTC,TRADING,binance,spot,现货,
NMRUSDT,NMR,USDT,TRADING,binance,spot,现货,
DOTBNB,DOT,BNB,TRADING,binance,spot,现货,
DOTBTC,DOT,BTC,TRADING,binance,spot,现货,
DOTUSDT,DOT,USDT,TRADING,binance,spot,现货,
LUNAUSDT,LUNA,USDT,TRADING,binance,spot,现货,
RSRUSDT,RSR,USDT,TRADING,binance,spot,现货,
PAXGBTC,PAXG,BTC,TRADING,binance,spot,现货,
PAXGUSDT,PAXG,USDT,TRADING,binance,spot,现货,
TRBBTC,TRB,BTC,TRADING,binance,spot,现货,
TRBUSDT,TRB,USDT,TRADING,binance,spot,现货,
WBTCBTC,WBTC,BTC,TRADING,binance,spot,现货,
WBTCETH,WBTC,ETH,TRADING,binance,spot,现货,
SUSHIBTC,SUSHI,BTC,TRADING,binance,spot,现货,
SUSHIUSDT,SUSHI,USDT,TRADING,binance,spot,现货,
KSMBTC,KSM,BTC,TRADING,binance,spot,现货,
KSMUSDT,KSM,USDT,TRADING,binance,spot,现货,
EGLDBNB,EGLD,BNB,TRADING,binance,spot,现货,
EGLDBTC,EGLD,BTC,TRADING,binance,spot,现货,
EGLDUSDT,EGLD,USDT,TRADING,binance,spot,现货,
DIABTC,DIA,BTC,TRADING,binance,spot,现货,
DIAUSDT,DIA,USDT,TRADING,binance,spot,现货,
RUNEUSDT,RUNE,USDT,TRADING,binance,spot,现货,
FIOUSDT,FIO,USDT,TRADING,binance,spot,现货,
UMABTC,UMA,BTC,TRADING,binance,spot,现货,
UMAUSDT,UMA,USDT,TRADING,binance,spot,现货,
LINKTRY,LINK,TRY,TRADING,binance,spot,现货,
BELBTC,BEL,BTC,TRADING,binance,spot,现货,
BELUSDT,BEL,USDT,TRADING,binance,spot,现货,
UNIBTC,UNI,BTC,TRADING,binance,spot,现货,
UNIUSDT,UNI,USDT,TRADING,binance,spot,现货,
OXTBTC,OXT,BTC,TRADING,binance,spot,现货,
OXTUSDT,OXT,USDT,TRADING,binance,spot,现货,
SUNUSDT,SUN,USDT,TRADING,binance,spot,现货,
AVAXBNB,AVAX,BNB,TRADING,binance,spot,现货,
AVAXBTC,AVAX,BTC,TRADING,binance,spot,现货,
AVAXUSDT,AVAX,USDT,TRADING,binance,spot,现货,
FLMBTC,FLM,BTC,TRADING,binance,spot,现货,
FLMUSDT,FLM,USDT,TRADING,binance,spot,现货,
SCRTBTC,SCRT,BTC,TRADING,binance,spot,现货,
