symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,korean_name,english_name,trade_price,change,change_rate,high_price,low_price,acc_trade_volume_24h,acc_trade_price_24h,timestamp
KRW-AVAX,AVAX,KRW,TRADING,upbit,spot,现货,아발란체,Avalanche,30100.0,RISE,0.0033333333,30460.0,29620.0,178005.26752832,5352117471.75588,1754148390802
USDT-ONDO,ONDO,USDT,TRADING,upbit,spot,现货,온도파이낸스,Ondo Finance,0.901,FALL,0.0022148394,0.901,0.901,4478.41302348,4025.89466661,1754148391021
BTC-EGLD,EGLD,BTC,TRADING,upbit,spot,现货,멀티버스엑스,MultiversX,0.0001236,EVEN,0.0,0.0001236,0.0001236,0.08138834,1.006e-05,1754095915987
BTC-GO,GO,BTC,TRADING,upbit,spot,现货,고체인,GoChain,1e-08,FALL,0.5,2e-08,1e-08,52330.17456358,0.00078495,1754148390309
BTC-INTER,INTER,BTC,TRADING,upbit,spot,现货,인터밀란,Inter Milan Fan Token,4.59e-06,FALL,0.0670731707,4.88e-06,4.59e-06,1703.74794479,0.00802937,1754148390836
BTC-GLM,GLM,BTC,TRADING,upbit,spot,现货,골렘,Golem,2e-06,FALL,0.0783410138,2.05e-06,2e-06,3027.55638378,0.00613116,1754148390610
KRW-IMX,IMX,KRW,TRADING,upbit,spot,现货,이뮤터블엑스,Immutable X,684.0,FALL,0.0058139535,704.0,671.0,1987715.02235085,1371577745.678798,1754148390907
BTC-RAY,RAY,BTC,TRADING,upbit,spot,现货,레이디움,Raydium,2.25e-05,FALL,0.0127248793,2.289e-05,2.25e-05,1504.81898455,0.03416868,1754148390824
BTC-ZRO,ZRO,BTC,TRADING,upbit,spot,现货,레이어제로,LayerZero,1.479e-05,FALL,0.0276134122,1.499e-05,1.479e-05,460.64041548,0.00688743,1754148391030
USDT-VIRTUAL,VIRTUAL,USDT,TRADING,upbit,spot,现货,버추얼프로토콜,Virtuals Protocol,1.19,FALL,0.1126025354,1.201,1.19,23.05147058,27.43124999,1754142836727
USDT-TRUMP,TRUMP,USDT,TRADING,upbit,spot,现货,오피셜트럼프,Official Trump,9.24,RISE,0.0823474288,9.3,8.61,245.96909219,2169.26715603,1754148391325
KRW-SC,SC,KRW,TRADING,upbit,spot,现货,시아코인,Siacoin,4.46,FALL,0.0610526316,4.92,4.42,4150035695.485635,19513154363.06627,1754148390250
KRW-INJ,INJ,KRW,TRADING,upbit,spot,现货,인젝티브,Injective,17440.0,FALL,0.0090909091,17920.0,17190.0,118449.22310699,2082525653.292497,1754148391137
BTC-PUNDIAI,PUNDIAI,BTC,TRADING,upbit,spot,现货,펀디에이아이,Pundi AI,5.44e-05,FALL,0.0414096916,6.596e-05,5.217e-05,104856.74391603,6.1948137,1754148390495
KRW-MVL,MVL,KRW,TRADING,upbit,spot,现货,엠블,MVL,4.42,FALL,0.0155902004,4.53,4.37,96686675.75505547,430597224.577405,1754148390595
USDT-MNT,MNT,USDT,TRADING,upbit,spot,现货,맨틀,Mantle,0.6944,FALL,0.1008675385,0.7723,0.6944,431.07542479,331.28341301,1754148390958
BTC-ZRX,ZRX,BTC,TRADING,upbit,spot,现货,제로엑스,0x Protocol,2.01e-06,FALL,0.1222707424,2.03e-06,2.01e-06,313.43283582,0.00063,1754148390210
BTC-HP,HP,BTC,TRADING,upbit,spot,现货,히포프로토콜,Hippo Protocol,4e-07,FALL,0.0243902439,4e-07,4e-07,2763.48685961,0.00110539,1754148390649
BTC-IO,IO,BTC,TRADING,upbit,spot,现货,아이오넷,io.net,5.15e-06,RISE,0.0038986355,6.14e-06,5.13e-06,10606.77964284,0.05711753,1754148391390
KRW-HIVE,HIVE,KRW,TRADING,upbit,spot,现货,하이브,Hive,296.0,FALL,0.0100334448,304.0,293.0,2432041.94392973,724749318.9331758,1754148390511
BTC-IMX,IMX,BTC,TRADING,upbit,spot,现货,이뮤터블엑스,Immutable X,4.44e-06,FALL,0.0089285714,4.44e-06,4.44e-06,1307.07690233,0.00580342,1754093516106
BTC-CITY,CITY,BTC,TRADING,upbit,spot,现货,맨체스터시티,Manchester City Fan Token,8.87e-06,RISE,0.0950617284,9.05e-06,7.67e-06,1757.34851669,0.01534654,1754148390835
BTC-ID,ID,BTC,TRADING,upbit,spot,现货,스페이스아이디,SPACE ID,1.38e-06,FALL,0.0212765957,1.42e-06,1.38e-06,10377.92599461,0.01445414,1754148390927
USDT-LAYER,LAYER,USDT,TRADING,upbit,spot,现货,솔레이어,Solayer,0.61,RISE,0.0166666667,0.61,0.609,1.1758225,0.71625173,1754148391313
KRW-CBK,CBK,KRW,TRADING,upbit,spot,现货,코박토큰,Cobak Token,821.0,FALL,0.021454112,851.0,813.8,1049004.36164863,873992919.2979728,1754148390648
KRW-OM,OM,KRW,TRADING,upbit,spot,现货,만트라,MANTRA,332.0,RISE,0.009118541,336.0,322.0,11262512.68927689,3742205828.9989433,1754148391423
BTC-CELO,CELO,BTC,TRADING,upbit,spot,现货,셀로,Celo,2.74e-06,FALL,0.0616438356,2.74e-06,2.74e-06,190.0839416,0.00052083,1754148390649
BTC-INJ,INJ,BTC,TRADING,upbit,spot,现货,인젝티브,Injective,0.00010899,FALL,0.0176656151,0.0001107,0.00010899,103.099555,0.01140335,1754148390636
USDT-GAS,GAS,USDT,TRADING,upbit,spot,现货,가스,GAS,2.988,EVEN,0.0,2.988,2.988,25.27465123,75.52065788,1754148391023
KRW-XLM,XLM,KRW,TRADING,upbit,spot,现货,스텔라루멘,Lumen,526.0,FALL,0.0149812734,547.0,523.0,35784447.34736789,19209017290.37912,1754148390171
KRW-OP,OP,KRW,TRADING,upbit,spot,现货,옵티미즘,Optimism,893.0,FALL,0.0132596685,915.0,879.0,4943146.25827344,4429895410.584748,1754148386635
BTC-MVL,MVL,BTC,TRADING,upbit,spot,现货,엠블,MVL,2e-08,EVEN,0.0,2e-08,2e-08,42581.85086869,0.00085164,1754031415737
BTC-IQ,IQ,BTC,TRADING,upbit,spot,现货,아이큐,IQ.wiki,3e-08,EVEN,0.0,3e-08,3e-08,13310.30156479,0.00039931,1754148390663
BTC-CBK,CBK,BTC,TRADING,upbit,spot,现货,코박토큰,Cobak Token,5.16e-06,FALL,0.0532110092,5.16e-06,5.16e-06,120.23498062,0.00062041,1754148390642
USDT-W,W,USDT,TRADING,upbit,spot,现货,웜홀,Wormhole,0.07401,RISE,0.0194214876,0.07401,0.07401,220.25602191,16.10735873,1754148391123
KRW-SAFE,SAFE,KRW,TRADING,upbit,spot,现货,세이프,Safe,570.0,FALL,0.0155440415,587.0,567.0,673379.07526176,388427228.5641626,1754148391159
KRW-GLM,GLM,KRW,TRADING,upbit,spot,现货,골렘,Golem,332.0,FALL,0.0206489676,342.0,328.0,4795921.8106371,1612642036.8633862,1754148390617
BTC-XLM,XLM,BTC,TRADING,upbit,spot,现货,스텔라루멘,Lumen,3.31e-06,FALL,0.0235988201,3.37e-06,3.31e-06,1819.52066259,0.00619363,1754148390086
BTC-CYBER,CYBER,BTC,TRADING,upbit,spot,现货,사이버,Cyber,1.383e-05,FALL,0.0028839221,1.424e-05,1.367e-05,73428.41698896,1.0237659,1754148390921
BTC-MOCA,MOCA,BTC,TRADING,upbit,spot,现货,모카네트워크,Moca Network,6.6e-07,FALL,0.0434782609,6.6e-07,6.5e-07,1380.4796,0.00091112,1754148391232
BTC-API3,API3,BTC,TRADING,upbit,spot,现货,에이피아이쓰리,API3,5.82e-06,FALL,0.0051282051,5.9e-06,5.82e-06,15710.5066472,0.09228767,1754148390815
USDT-OXT,OXT,USDT,TRADING,upbit,spot,现货,오키드,Orchid,0.05707,FALL,0.028099455,0.05707,0.05707,175.22340984,10.0,1753988756214
BTC-1INCH,1INCH,BTC,TRADING,upbit,spot,现货,1인치네트워크,1inch Network,2.31e-06,FALL,0.0454545455,2.35e-06,2.31e-06,274.4750826,0.00063404,1753892016342
BTC-FLOW,FLOW,BTC,TRADING,upbit,spot,现货,플로우,Flow,3.03e-06,FALL,0.0350318471,3.12e-06,3.03e-06,1886.73723137,0.00580374,1754148390678
USDT-HAEDAL,HAEDAL,USDT,TRADING,upbit,spot,现货,해달프로토콜,Haedal Protocol,0.1386,FALL,0.0375,0.1436,0.1386,2013.47038906,279.06699592,1754116197287
KRW-POKT,POKT,KRW,TRADING,upbit,spot,现货,포켓네트워크,Pocket Network,53.1,FALL,0.0310218978,55.5,52.4,53905581.89378766,2912458078.9998446,1754148391460
BTC-LA,LA,BTC,TRADING,upbit,spot,现货,라그랑주,Lagrange,2.97e-06,RISE,0.0384615385,2.99e-06,2.86e-06,756337.78056552,2.2036724,1754148391462
BTC-MTL,MTL,BTC,TRADING,upbit,spot,现货,메탈,Metal,6.19e-06,EVEN,0.0,6.19e-06,6.19e-06,20.8,0.00012875,1754148390323
BTC-VET,VET,BTC,TRADING,upbit,spot,现货,비체인,VeChain,2e-07,EVEN,0.0,2e-07,2e-07,647.52766649,0.00012951,1754148390479
BTC-POWR,POWR,BTC,TRADING,upbit,spot,现货,파워렛저,Power ledger,1.43e-06,FALL,0.0337837838,1.45e-06,1.43e-06,170.21083654,0.0002434,1754121955205
BTC-ATOM,ATOM,BTC,TRADING,upbit,spot,现货,코스모스,Cosmos,3.59e-05,FALL,0.0204638472,3.665e-05,3.59e-05,555.62999593,0.02015989,1754148390437
BTC-ARKM,ARKM,BTC,TRADING,upbit,spot,现货,아캄,Arkham,3.98e-06,FALL,0.0744186047,3.98e-06,3.98e-06,107.954263,0.00042966,1754148391330
BTC-SONIC,SONIC,BTC,TRADING,upbit,spot,现货,소닉SVM,Sonic SVM,1.82e-06,RISE,0.0055248619,1.82e-06,1.82e-06,459.55882353,0.0008364,1754148391247
BTC-OXT,OXT,BTC,TRADING,upbit,spot,现货,오키드,Orchid,4.8e-07,RISE,0.0434782609,4.8e-07,4.6e-07,170172.9243645,0.07842205,1754148390575
USDT-ASTR,ASTR,USDT,TRADING,upbit,spot,现货,아스타,Astar,0.02205,FALL,0.0371179039,0.02872,0.02205,636.3665173,14.21402267,1754148391172
KRW-KNC,KNC,KRW,TRADING,upbit,spot,现货,카이버네트워크,Kyber Network,584.0,FALL,0.0034129693,592.0,576.0,2777863.42355796,1623899825.8650978,1754148390341
BTC-NXPC,NXPC,BTC,TRADING,upbit,spot,现货,넥스페이스,Nexpace,7.76e-06,RISE,0.0458221024,7.76e-06,7.76e-06,40.30242943,0.00031275,1754148391412
KRW-AUCTION,AUCTION,KRW,TRADING,upbit,spot,现货,바운스토큰,Bounce,13420.0,RISE,0.0067516879,13600.0,13220.0,90887.92792274,1215694378.0101979,1754148390977
BTC-ME,ME,BTC,TRADING,upbit,spot,现货,매직에덴,Magic Eden,6.27e-06,FALL,0.0485584219,6.27e-06,6.27e-06,221.71339823,0.00139014,1754106776312
KRW-DRIFT,DRIFT,KRW,TRADING,upbit,spot,现货,드리프트,Drift,702.0,FALL,0.0042553191,714.0,694.0,1150739.96309956,809920623.5628601,1754148391165
BTC-SHELL,SHELL,BTC,TRADING,upbit,spot,现货,마이쉘,MyShell,1.27e-06,FALL,0.0378787879,1.35e-06,1.26e-06,107423.35095343,0.14100372,1754148391372
KRW-FCT2,FCT2,KRW,TRADING,upbit,spot,现货,피르마체인,FirmaChain,41.3,FALL,0.0372960373,45.5,40.7,220022045.36520278,9505788302.160673,1754148390634
USDT-SAHARA,SAHARA,USDT,TRADING,upbit,spot,现货,사하라에이아이,Sahara AI,0.0803,EVEN,0.0,0.0803,0.0803,10671.10434782,856.88967913,1754112896716
KRW-MTL,MTL,KRW,TRADING,upbit,spot,现货,메탈,Metal,989.0,FALL,0.0030241935,1008.0,979.0,411849.57656612,407958800.53712535,1754148390104
KRW-VET,VET,KRW,TRADING,upbit,spot,现货,비체인,VeChain,31.3,FALL,0.0063492063,32.3,31.0,54094599.71843031,1710300209.320463,1754148390490
BTC-TAIKO,TAIKO,BTC,TRADING,upbit,spot,现货,타이코,Taiko,3.81e-06,FALL,0.0569306931,3.81e-06,3.81e-06,502.98455681,0.00191637,1754010002787
BTC-SPURS,SPURS,BTC,TRADING,upbit,spot,现货,토트넘홋스퍼,Tottenham Hotspur,4.04e-06,EVEN,0.0,4.21e-06,4.04e-06,5701.34887311,0.02303682,1754148390939
KRW-QTUM,QTUM,KRW,TRADING,upbit,spot,现货,퀀텀,Qtum,2876.0,RISE,0.0123196058,2906.0,2824.0,502084.70005206,1435939203.5211802,1754148390149
KRW-TT,TT,KRW,TRADING,upbit,spot,现货,썬더코어,ThunderCore,3.94,FALL,0.0100502513,4.03,3.93,172858208.2101209,690630245.1558231,1754148390428
KRW-LINK,LINK,KRW,TRADING,upbit,spot,现货,체인링크,Chainlink,22360.0,FALL,0.0017857143,22710.0,22050.0,438181.25891494,9835318407.732439,1754148390533
KRW-XRP,XRP,KRW,TRADING,upbit,spot,现货,엑스알피(리플),XRP,4052.0,FALL,0.017935046,4210.0,4036.0,134460269.43321446,555996809978.1378,1754148391285
KRW-CHZ,CHZ,KRW,TRADING,upbit,spot,现货,칠리즈,Chiliz,52.7,EVEN,0.0,53.3,51.8,11608239.40982933,610020020.4062096,1754148390500
KRW-ASTR,ASTR,KRW,TRADING,upbit,spot,现货,아스타,Astar,31.9,RISE,0.0063091483,32.2,31.3,22152623.4150984,702765727.1138846,1754148390939
USDT-POKT,POKT,USDT,TRADING,upbit,spot,现货,포켓네트워크,Pocket Network,0.03886,FALL,0.0221439356,0.03915,0.03886,3840.5581777,150.29838871,1754148390954
BTC-GTC,GTC,BTC,TRADING,upbit,spot,现货,깃코인,Gitcoin,2.33e-06,FALL,0.0251046025,2.39e-06,2.28e-06,124943.19035263,0.29041472,1754148390789
USDT-RAY,RAY,USDT,TRADING,upbit,spot,现货,레이디움,Raydium,2.537,FALL,0.1000354736,2.537,2.537,6.82507592,17.31521761,1754148391486
BTC-NAP,NAP,BTC,TRADING,upbit,spot,现货,나폴리,Napoli Fan Token,6.97e-06,EVEN,0.0,6.97e-06,5.7e-06,7383.33425807,0.0472959,1754148390836
USDT-SAFE,SAFE,USDT,TRADING,upbit,spot,现货,세이프,Safe,0.4062,FALL,0.0797462619,0.4062,0.4062,48.11751321,19.54533387,1754148391160
USDT-RAD,RAD,USDT,TRADING,upbit,spot,现货,래드웍스,Radworks,0.6602,RISE,0.1025384102,0.6663,0.6415,121.79047704,80.40607294,1753892016349
KRW-STORJ,STORJ,KRW,TRADING,upbit,spot,现货,스토리지,Storj,360.0,FALL,0.0082644628,367.0,355.0,974922.08497778,351664247.3682197,1754148390188
BTC-AHT,AHT,BTC,TRADING,upbit,spot,现货,아하토큰,AhaToken,3e-08,EVEN,0.0,3e-08,3e-08,17478.67,0.00052436,1754148390502
KRW-ENA,ENA,KRW,TRADING,upbit,spot,现货,에테나,Ethena,764.0,FALL,0.0556242274,832.0,740.0,158135348.87783673,124975381448.4998,1754148390241
KRW-MANA,MANA,KRW,TRADING,upbit,spot,现货,디센트럴랜드,Decentraland,381.0,FALL,0.0052219321,388.0,375.0,2872747.36712021,1096460694.9247963,1754148390402
KRW-GRS,GRS,KRW,TRADING,upbit,spot,现货,그로스톨코인,Groestlcoin,419.0,FALL,0.018735363,431.0,416.0,1085023.88967311,459269186.63691276,1754148390191
KRW-PYTH,PYTH,KRW,TRADING,upbit,spot,现货,피스네트워크,Pyth Network,154.0,FALL,0.0064516129,158.0,151.0,7555948.4018044,1166423175.0326347,1754148390953
USDT-XLM,XLM,USDT,TRADING,upbit,spot,现货,스텔라루멘,Lumen,0.3738,FALL,0.0092764378,0.3979,0.3738,29.05393036,10.95365332,1754148391174
KRW-UXLINK,UXLINK,KRW,TRADING,upbit,spot,现货,유엑스링크,UXLINK,452.0,FALL,0.0044052863,459.0,446.0,5759943.88074852,2607003230.0378036,1754148391098
